English,standard bangla,garo,marma,chakma
Bangladesh is proud of its cultural heritage of the Bangladesh Liberation War.,বাংলাদেশে বাংলাদেশ মুক্তিযুদ্ধ সাংস্কৃতিক ঐতিহ্যে গর্বিত।,,,বাংলাদেজত বাংলাদেশ মুক্তিযুদ্ধ সাংস্কৃতিক ঐতিহ্যের লাই গর্বিত।
Pahela Boishakh is widely celebrated as the first day of the year in Bangladesh.,পহেলা বৈশাখ বাংলাদেশে বছরের প্রথম দিন হিসেবে প্রচুরভাবে পালন করা হয়।,,,পহেলা বৈশাখ আন বাংলাদেজত বজরর প্রথম দিন ইজেবে বেজ গুরি পালানো অই
Kwamiya is held every year in Bangladesh.,বাংলাদেশে কোয়ামিউল্যাইয়া প্রতি বছর অনুষ্ঠিত হয়।,,,প্রতি বছর বাংলাদেজত কোয়ামিউলাইয়্যা বজে
Baul culture in Bangladesh is a secondary character with the saints coming together.,বাংলাদেশে বাউল সংস্কৃতি একটি মাধ্যমিক চরিত্রের সাথে পরিপন্থী সাধুগণ একত্র আসে।,,,বাংলাদেজত বাউল সংস্কৃতির ইজ্ঞু মধ্য চরিত্রের লগে পরিপন্থি সাধু উনোয় এক লগে এজন
Paush Sankranti is widely celebrated on the day of mourning in Bangladesh.,বাংলাদেশে পৌষ সংক্রান্তি শোকাল দিনে প্রচুরভাবে উদযাপন করা হয়।,,,বাংলাদেজত পৌষ সংক্রান্তর বিন্নি বেজ গুরি পালানা অয়
Bangladesh has suffered countless martyrs in the Liberation War.,বাংলাদেশের মুক্তিযুদ্ধে অসোমনীয় শহীদ হয়েছেন।,,,বাংলাদেজ মুক্তু যুদ্ধ বালুক্কুন শহীদ উয়োন
"From the perspective of honesty, Bangladesh is a dangerous country.",সততার দৃষ্টিকোণ থেকে বাংলাদেশ একটি সাংঘাতিক দেশ।,,,সততার দৃষ্টিকোনুট্টুন বাংলাদেজ এক্কান বেজ গম দেশ।
Bangladesh is the fourth largest Muslim country in the world.,বাংলাদেশ বিশ্বের চতুর্থ বৃহত্তম মুসলিম দেশ।,,,বাংলাদেজ অলদে গোদা দুনিয়ে আনত চের নাম্বার দাঙড় মুস্লিম দেশ
Bangladesh is a multilingual social bridge.,বাংলাদেশে বহুভাষিক একটি সামাজিক ব্রিজ।,,,বাংলাদেজত বালক্কানি ভাষার সামাজিক সেতু আগে
Mobile phone usage in Bangladesh is increasing at the fastest rate.,বাংলাদেশের মোবাইল ফোন ব্যবহার হচ্ছে দ্রুততম মাত্রায় বাড়তি হচ্ছে।,,,বাংলাদেজত মোবাইল ফোনের ব্যবআর আর বেজ জাদি আরে বাড়ি যার
Bangladesh's culture is a liberal advocate for the rights of language and the Liberation War.,বাংলাদেশের সংস্কৃতি ভাষার ও মুক্তিযুদ্ধের অধিকারে উদার হোকারী।,,,
Bangladesh is a land of prosperity.,বাংলাদেশ একটি ভূমি যাতে সমৃদ্ধি,,,
Bangladesh is a circular trading country.,বাংলাদেশ একটি সার্কুলার বাণিজ্যিক দেশ।,,,বাংলাদেজ ইজ্ঞু সার্কুলার বানিজ্যিক দেজ
Bangladesh has improved its primary education.,বাংলাদেশ উন্নত তার প্রাথমিক শিক্ষাসাধানে,,,বাংলাদেজ আন উন্নত অলদে প্রাথমিক শিক্ষা আনর হারনে
Bangladesh is a country of heroic liberation war.,বাংলাদেশ একটি বীর মুক্তিযুদ্ধ দেশ।,,,বাংলাদেজ এক্কান বীরর মুক্তিযুদ্ধের দেজ
Bangladesh enriches religious literature with various special religious sciences.,বাংলাদেশ বিভিন্ন বিশেষ ধর্মবিদ্যায়কে ধার্মিক সাহিত্য সমৃদ্ধ করে।,,,বাংলাদেজ আন বিভিন্ন ধর্ম বিদ্যে আনোর ইজ্ঞু ধার্মিক সাহিত্য সমৃদ্ধি গড়ে
Education in Bangladesh is generally developing.,বাংলাদেশে শিক্ষা সাধারণভাবে উন্নত হচ্ছে।,,,বাংলাদেজত শিক্ষা আন স্বাভাবিকভাবে উন্নতি গড়ের
Bangladesh is a country of the largest rainfall.,বাংলাদেশ একটি বৃহত্তম বৃষ্টির দেশ।,,,বাংলাদেজ এক্কান বেগ দাঙর ঝড়র দেজ
Bangladesh has many endangered fish species.,বাংলাদেশে অনেক বিপন্ন মাছের প্রজাতি আছে।,,,বাংলাদেজ বালক্কানি প্রজাতির মাছ আগে
Bangladesh has senior teachers and teachers who provide more valuable education.,বাংলাদেশে প্রবীণ শিক্ষক ও শিক্ষিকারা অধিক মূল্যবান শিক্ষা প্রদান করছে,,,বাংলাদেজত বুড়ো মাস্টর আর মাস্টারি উনরে বেজ মুল্যবান বিদ্যে দান গড়ন
Sonar Bangla is the national anthem of the country in Bangladesh.,বাংলাদেশে সোনার বাংলা হল দেশের জাতীয় সঙ্গীত।,,,বাংলাদেজত সোনার বাংলা অলদে জাতীয় সঙ্গীত
Bangladesh needs the largest rice technology.,বাংলাদেশ হিসেবে বৃহত্তম রাইস প্রযুক্তি প্রয়োজন।,,,বাংলাদেজ ইজেবে বেগ দাঙর রাইস প্রজুক্তি দরকার
Bangladesh has wind-driven agriculture as an advanced farming method.,বাংলাদেশে বাতাসে চলা কৃষি একটি উন্নত চাষা পদ্ধতি।,,,বাংলাদেজত বুয়েরে ঢুলিবার কৃষি আন ইজ্ঞু উন্নত চাজো পদ্ধতি
Bangladesh is going to increase in secondary education.,বাংলাদেশে মাধ্যমিক শিক্ষা বৃদ্ধি হতে চলেছে।,,,বাংলাদেজত মাধ্যমিক শিক্ষা আন বাডের
Bangladesh has various religious pujas.,বাংলাদেশে বিভিন্ন ধর্মানুযায়ী পুজো পালন হয়।,,,বাংলাদেজত বিভিন্ন ধর্ম অনুসারে পুজো পালানা অয়
Bangladesh is a country of the largest rubber production.,বাংলাদেশ একটি বৃহত্তম রবার তৈরি দেশ।,,,বাংলাদেজ এক্কান দাঙর রবার তৈরি গুরিবার দেজ
Bangladesh is further developing through education technology.,বাংলাদেশে শিক্ষা প্রযুক্তি দ্বারা আরও উন্নত হচ্ছে।,,,বাংলাদেজত বিদ্যে প্রযুক্তির মাধ্যমে আরো বেজ উন্নতি গড়ের
Bangladesh has a law-centered justice system.,বাংলাদেশে একটি আইনকেন্দ্রিত ন্যায় প্রণালী রয়েছে।,,,বাংলাদেজত ইজ্ঞু আইন আনোরে কেন্দ্র গুড়িনেয় এক্কান প্রথা চালু আগে
Bangladesh is a popular breed of the golden jubilee in Bangladesh.,বাংলাদেশে সোনালী জুবিন গণপ্রজাতি।,,,
Bangladesh Television is the most popular channel for the promotion of arts and culture in Bangladesh.,বাংলাদেশে কলা ও সাংস্কৃতিক প্রসারে সবচেয়ে জনপ্রিয় চ্যানেল বাংলাদেশ টেলিভিশন।,,,বাংলাদেজত শিল্প সংস্কৃতির লাই ইজ্ঞু বেক্কুনের প্রিয়ো চ্যানেল অলদে বাংলাদেশ টেলিভিশন 
Universities are places of higher education.,বিশ্ববিদ্যালয় হলো একটি উচ্চ শিক্ষা প্রদানকারী স্থান।,,,বিশ্ববিদ্যালয় অলদে এক্কান উচ্চ বিদ্দ্যে প্রদান গুরিবার জাগা
Students at the university receive their education in various courses.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীরা বিভিন্ন পাঠ্যক্রমে নিজেদের শিক্ষা প্রাপ্ত করে।,,,বিশ্ববিদ্যালয়ত পুড়িয়ে পো-জি উনোরে বিভিন্ন পাঠ্যক্রমত বিদ্দ্যে দি ঠাই
The university is a pioneer in the expansion of education.,বিশ্ববিদ্যালয় শিক্ষার প্রসারণে অগ্রণী।,,,বিশ্ববিদ্যালয় অন বিদ্যো প্রসার গুড়িবাত্বাই বেজ ভুমিকা পালে পায়
Teachers at the university teach students.,বিশ্ববিদ্যালয়ে শিক্ষক-শিক্ষিকা শিক্ষার্থীদের প্রতি শিক্ষাদান দেয়।,,,বিশ্ববিদ্যালয়ত মাস্টর মাস্টারি উন পুড়িয়ে পো জি উনরে বিদ্যো দান গুড়ি ঠান
Higher education is provided at the university than at other educational institutions.,বিশ্ববিদ্যালয়ে অন্যান্য শিক্ষাপ্রতিষ্ঠানের চেয়ে উচ্চতর শিক্ষা প্রদান হয়।,,,বিশ্ববিদ্যালয়ত অন্যান্য বেগ পুড়িবার জাগা উন্নতুন বেজ বিদ্যো দান গুড়ি ঠাই
Campus life at the university can be very ideal.,বিশ্ববিদ্যালয়ে ক্যাম্পাস জীবন অনেকটাই আদর্শ হতে পারে।,,,বিশ্ববিদ্যালয়ত ক্যাম্পাসও জীংগানি আন দোল ওই পারে
Different subjects are studied at the university to gain specialization.,বিশ্ববিদ্যালয়ে বিশেষজ্ঞতা অর্জন করার জন্য বিভিন্ন বিষয়ে পড়া হয়।,,,বিশ্ববিদ্যালয়ত বিশেষ রকমের বিদ্যে অরজন গুড়িবার লাই বিভিন্ন ধরনের বিদ্যে পড়ানা অয়
Special education is provided at the university for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিশেষ শিক্ষা প্রদান করা হয়।,,,বিশ্ববিদ্যালত পুড়িয়ে পো-জী উনোর লাই বিশেষ রকমের বিদ্যে দান গড়ানো অয়
There are various cultural and sports activities at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন সাংস্কৃতিক ও খেলাধুলার কর্মক্ষেত্র রয়েছে।,,,বিশ্ববিদ্যালয়ত বালক্কানি সাংস্কৃতিক ও হেলা ধুলো গুরিবার লাই যাগা আগে
Many teachers at the university may have more foreigners.,বিশ্ববিদ্যালয়ে অনেক বিশ্ববিদ্যালয়ে শিক্ষক-শিক্ষিকা অধিক বিদেশী থাকতে পারে।,,,বিশ্ববিদ্যালয়ত বালক্কানি বিদেজর মাস্টর-মাস্টারি থে পাড়ন
Diversity is maintained among students at the university.,বিশ্ববিদ্যালয়ে শিক্ষার্থীদের মধ্যে বৈচিত্র্য বজায় রাখা হয়।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনুর মধ্যে বৈচিত্র থে পারে
There are various clubs and communities at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্লাব ও সম্প্রদায় রয়েছে।,,,বিশ্ববিদ্যালয়ত বালক্কানি ক্লাব আর সম্প্রদায় থে পাড়ে
Preparation is required for admission to the university.,বিশ্ববিদ্যালয়ে ভর্তি হওয়ার জন্য প্রস্তুতি করতে হয়।,,,বিশ্ববিদ্যালয়ত পুড়িবার গেলে আগ প্রস্তুতি লো পড়ে
Students at the university easily make new friends.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীরা সহজেই নতুন বন্ধু পাতে।,,,বিশ্ববিদ্যালয়ত হুব সহজে পুড়িয়ে পো জী উন সমাজ্জি বানে পাড়ন
Various festivals and events are organized at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ফেস্টিভ্যাল এবং ইভেন্ট আয়োজন করা হয়।,,,বিশ্ববিদ্যালয় বালক্কানি ফেস্টিবল আন ইভেন্ট পালানো অয়
It takes a lot of time to travel to the university campus.,বিশ্ববিদ্যালয়ে ক্যাম্পাসে ভ্রমণ করতে হলে অনেক সময় প্রয়োজন।,,,বিশ্ববিদ্যালয়র ক্যাম্পাসঅট বেড়েবার গেলে বালক্কন সময় লাগে
Various activities can be held on the university campus.,বিশ্ববিদ্যালয়ে ক্যাম্পাসে বিভিন্ন কার্যক্রম অনুষ্ঠিত হতে পারে।,,,বিশ্ববিদ্যালয় ক্যাম্পাজট বালক্কানি কার্যক্রম ওয় পাড়ে
Various technologies are used at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন প্রযুক্তি ব্যবহার হয়।,,,বিশ্ববিদ্যালয়ট বালক্কানি প্রযুক্তি ব্যবহার অয়
Many students at the university learn language technology.,বিশ্ববিদ্যালয়ে অনেক ছাত্র-ছাত্রীরা ভাষা প্রযুক্তি শেখে থাকে।,,,বিশ্ববিদ্যালয়ট বালুক্কুন পুড়িয়ি পো-জ্বি উন ভাষা প্রযুক্তি শিগি ঠান
The university offers courses in different languages.,বিশ্ববিদ্যালয়ে বিভিন্ন ভাষায় কোর্স প্রদান করা হয়।,,,বিশ্ববিদ্যালয়েট বালক্কানি ভাষা শিগিবার কোর্স দি ঠাই
The university invites students from different countries.,বিশ্ববিদ্যালয়ে বিভিন্ন দেশের ছাত্র-ছাত্রীদের আমন্ত্রণ দেওয়া হয়।,,,বিশ্ববিদ্যালয় বালক্কানি দেজর পুড়িয়ে পো জী উনোরে এবার লাই দাগানো অয়
The university has many different campuses.,বিশ্ববিদ্যালয়ে অনেক বিভিন্ন ক্যাম্পাস আছে।,,,বিশ্ববিদ্যালয়ট বালক্কানি ক্যাম্পাস আগে
The university has various necessary facilities for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন আবশ্যক উপকরণ রয়েছে।,,,বিশ্ববিদ্যালয় বালক্কানি পুড়িবার জিনিস আনি পুড়িয়ে পো জী উনোর লাই আগে
The university offers different degrees for students.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপাধি প্রদান করা হয়।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর বালক্কানি উপাধি দেনা অয়
Different students can study law at the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ছাত্র-ছাত্রীরা আইন অধ্যয়ন করতে পারে,,,বিশ্ববিদ্যালয়ট বালুক্কুন পুড়িয়ে পো জী উনোরে আইনের বিদ্যে দেনা অয়
Students can have fun in campus life at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের ক্যাম্পাস জীবনে রমনা হতে পারে।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর ক্যাম্পাস জীবন রমনা গুড়ি পারে
There are libraries in different campuses of the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্যাম্পাসে লাইব্রেরি রয়েছে।,,,বিশ্ববিদ্যালয়ট বিভিন্ন ক্যাম্পাস্ট বিদ্যে শিগিবার ঘর আগে
Various associations and events are organized for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন সংঘ ও ইভেন্ট আয়োজন করা হয়,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি সংঘ আর ইভেন্ট আয়োজন গড়ানো ওয়
A course is selected for admission to the university.,বিশ্ববিদ্যালয়ে ভর্তি হওয়ার জন্য একটি কোর্স সিলেক্ট করা হয়,,,বিশ্ববিদ্যালয়ট ভর্তি অবার লাই ইজ্ঞু কোর্স সিলেক্ট গড়ানা অয়
There may be different seats for students at the university.,বিশ্ববিদ্যালয়ে শিক্ষার্থীদের জন্য বিভিন্ন আসনের সৌন্দর্য থাকতে পারে।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি আস্নর দোল আন থে পারে
There are various materials and trial materials for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপকরণ এবং বিচার উপকরণ রয়েছে।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কান উপকরণ আর যানবাহন আগে।
There are various materials and vehicles for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন উপকরণ ও যানবাহন রয়েছে।,,,বিশ্ববিদ্যালয়ট পুড়িয়ে পো জী উনোর লাই বালক্কানি উপকরন আর বিচার উপকরন বুয়ি
There are various pet holes for students at the university.,বিশ্ববিদ্যালয়ে ছাত্র-ছাত্রীদের জন্য বিভিন্ন পোষ্য হোল রয়েছে।,,,বিশ্ববিদ্যালয়ট বালক্কানি পোষ্য হল আগে পুড়িয়ে পো জী উনোর লাই
Different khokars may be organized at different campuses of the university.,বিশ্ববিদ্যালয়ে বিভিন্ন ক্যাম্পাসে বিভিন্ন খোকার আয়োজন করা হতে পারে।,,,বিশ্ববিদ্যালয়ট বালক্কানি ক্যাম্পাসট বালক্কানি খোকার আয়োজন বুয়ি
Barisal division is located in the south of Bangladesh.,বরিশাল বিভাগটি বাংলাদেশের দক্ষিণে অবস্থিত।,,,বরিশাল বিভাগ আন বাংলাদেজত দক্ষিনে অবস্থিত 
It is known for its natural beauty and many rivers.,এটি প্রাকৃতিক সৌন্দর্য এবং অনেকগুলি নদীর জন্য পরিচিত।,,,ইয়ান প্রাকৃতিক দোল অর বালক্কানি নদী লাই আ পরিচিত 
The divisional headquarters is located in the city of Barisal.,বিভাগীয় মানক বরিশাল শহরে অবস্থিত।,,,বিভাগীয় মানক আন বরিশাল শহরট অবস্তিত
"Kuakata, known as the 'daughter of the sea', is a famous tourist destination in Barisal.","কুয়াকাটা, যা 'সমুদ্রের কন্যা' হিসেবে পরিচিত, বরিশালে একটি প্রসিদ্ধ পর্যটন গন্তব্য।",,,কুয়াকাটা যিয়ান সমুদ্র কন্যা ইজেবে পরিচিত সিয়ান বরিশাল শহরট অবস্তিত
Patuakhali is famous for the beauty of Kuakata beach.,পটুয়াখালি বিখ্যাত কুয়াকাটা সৈকতের সৌন্দর্যের জন্য,,,পটুয়াখালী আন কুয়াকাটা সৈকতের দোলর লাই বিখ্যাত
"Bhola, the largest island in Bangladesh.","ভোলা, বাংলাদেশের সবচেয়ে বড় দ্বীপ,",,,ভোলা বাংলাদেজর বেগ দাঙর দ্বীপ
Jhalokathi is known for its cultural wealth.,ঝালকাঠি সাংস্কৃতিক ধনের জন্য পরিচিত,,,ঝালকাঠি আন সাংস্কৃতিক সম্পদের লাই পরিচিত
Pirojpur is famous for its historic Guava Fair.,পিরোজপুর ঐতিহাসিক পেয়ারা মেলার জন্য বিখ্যাত,,,পিরোজপুর আন ঐতিহাসিক পেয়ারা মেলার লাই বিখ্যাত 
Welcome to our beautiful country.,আমাদের সুন্দর দেশে আপনাকে স্বাগতম।,,,আমা দোল দেজত তোমারে আমন্ত্রন জানাং
I will show you around the city.,আমি আপনাকে শহরের চারপাশে দেখাবো।,,,মুই তরে শহরর চের পাজট সেম্মি
What is the best time to visit?,সেরা সময়টি কি যাত্রা করার জন্য?,,,সেরা গম সময় আন হুবু বেড়েবার লাই?
Do you need a map?,আপনার কি ম্যাপ প্রয়োজন?,,,তর হি ম্যাপ লাগিবু?
This is a famous historical place.,এটি একটি বিখ্যাত ঐতিহাসিক স্থান।,,,ইয়ান এক্কান বিখ্যাত ঐতিহাসিক জাগা
Let's take a guided tour.,আসুন গাইডেড টুর নিয়ে যাই।,,,আই গাইডেড টুর লনেই যেয়?
Don't forget to take pictures.,ছবি তুলতে ভুলবেন না।,,,ছুবি টুলিবার লো ভুলিজ। 
Let's go to the local market.,আসুন স্থানীয় বাজারে যাই।,,,আই স্থানীয় বাজারত যেই
Are there any special events going on?,কোন বিশেষ ঘটনা ঘটছে?,,,হনো বিশেষ ঘটনাকল হি ঘুট্টি
Try the local food.,স্থানীয় খাবার চেষ্টা করুন।,,,স্থানীয় হানা চেষ্টা গুড়ি সা
Can you recommend a good restaurant?,আপনি কি একটি ভালো রেস্তোরাঁ সুপারিশ করতে পারবেন?,,,তুই হি গম রেস্তোরাঁ সুপারিশ গুরি পাড়িবি
Let's rent a car and travel around the country.,আসুন একটি গাড়ি ভাড়া করে দেশের চারপাশে ভ্রমণ করি।,,,আই ইজ্ঞু গাড়ি ভাড়া গুড়িনেই দেজর চেরদিকট বেড়েয়
Let's go on a boat tour.,আসুন নৌকা টুরে যাই।,,,আয় নৌকা টুরট যেয়
This is the main square of the city.,এটি শহরের প্রধান চত্বর।,,,ইয়ান শহরের প্রধান চত্বর
Let's go to the seashore.,আসুন সমুদ্র তীরে যাই।,,,আয় সমুদ্র তীরত যেয়
How is the weather today?,আজ আবহাওয়া কেমন?,,,ইচ্ছি দেবা আন হিদিক্কিন?
Let's go to the old town.,আসুন পুরাতন শহরে যাই।,,,আই পুরোন শহরট যেয়
Let's go hiking in the mountains.,আসুন পাহাড়ে হাইকিং করি।,,,আই মুড়ো আনট হাইকিং গুরি
Have you tasted the local food?,আপনি কি স্থানীয় খাবারের আস্বাদন করেছেন?,,,তুই হি স্থানীয় হাবার আনিত আস্বাদন গুড়িবি
Let's go for a night out in the city.,আসুন শহরে রাতে বেড়াই।,,,আই রেদো শহর আন বেড়েই
How much is the admission fee?,ভর্তি ফি কত?,,,ভর্তি ফি হদক?
Let's go to the Botanical Garden.,আসুন বোটানিকাল গার্ডেনে যাই।,,,আয় বোটানিকল গার্ডেনত যেয়
Let's see the art gallery.,আসুন শিল্প গ্যালারি দেখি।,,,আয় শিল্প গ্যালারি সেই
Are there any brochures on local attractions?,কোন স্থানীয় আকর্ষণ সম্মুখে কোন ব্রোশুর আছে?,,,হনো স্থানীয় আকর্ষন সম্মুখত হন ব্রোঞ্জর আগে
Let's go to the Science Museum.,আসুন বিজ্ঞান জাদুঘর দেখতে যাই।,,,আই বিজ্ঞান যাদুগর সেবার যাই
Do you want to explore the city's nightlife?,আপনি কি শহরের নাইটলাইফ অনুসন্ধান করতে চান,,,তুই হি শহরর রেদো জীবন চেবার চাস
Have you booked a hotel for your stay?,আপনি কি আপনার থাকার জন্য হোটেল বুক করেছেন,,,তুই হি যেবার লাই তো হোটেল আন বুক গুচ্ছস
I don't speak very well.,আমি খুব ভাল কথা বলি না,,ঙা আকোং চ্গা মপ্র,মুই বেজ গমে দালে হোই নোয়ারঙ
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,,ঙো আগো লা ন্হেং হো ব্যালঃ,আমি হি যেবার লাই প্রস্তুত
Do you want to come?,তুমি কি আসতে চাও?,,নাং লেখ্যাংরে ল?,তুই হি এবার চাস?
Have you finished work?,তুমি কি কাজ শেষ করেছ?,,নাং মা অলু টুংগব্যায়াং?,তুই হি হাম আন ফুড়িয়োস?
If you have any ideas?,যদি আপনার কোন ধারণা আছে?,,,তর হি হন ধারনা আগে
Do you have any problems?,তোমার কি কোন সমস্যা আছে?,,,তর হি হন সমস্যা আগে?
Is the job still available?,চাকরি কি এখনও পাওয়া যায়?,,সাগ্রী আগু লে সৌ রারে ল?,চাগুরি হি এজ পা যায়?
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,,ঙা নাগকো টখও মিং ন্হেং হো ল?,মুই হি তরে এক্কান হদা বিজের গুরি পাড়িম
My father is in his room.,আমার বাবা তার রুমে আছেন,,ঙো অফা/ আফা/ বাবা নেংমা হিরে,ম বা মো রুমট আগে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,,এসেই চ্গা প্র,হুজুলি গুরি আবো আস্তে হদা হ
Please go to school.,অনুগ্রহ করে স্কুলে যান,,চা ক্যাং দু লালি,হুজুলি গুরি স্কুলট যা
Please give me your hand.,দয়া করে আমাকে আপনার হাত দিন,,কো আলাউগ তখ্যাগ পি,হুজুলি গুরি ত পট আন মরে দে
The house is very small.,বাড়িটা খুব ছোট,,ইং এরমা অফওয়াশে,ঘর আন বেজ চিকন
They are both in the room.,তারা দুজনেই রুমে আছে,,ইয়াশ্রু ন্হয়চঙং ত মা হিরে,তারা দুয়ো জন রুমট আগন
Where do you have pain?,তোমার কোথায় ব্যথা আছে?,,নাগ মা আডে নারেলে,তর হুদু পিরি আগে
You need to study hard.,আপনাকে কঠোর অধ্যয়ন করতে হবে,,,তরে বেজ গুড়ি পড়া পুড়িবু
Can you read this book?,আপনি এই বই পড়তে পারেন,,কো ই চা্উ ফেন্হেং মি,তুই এই বিদ্যা আন পুড়ি পারজ
You are a good teacher.,তুমি একজন ভালো শিক্ষক,,নাং তউ আকং ছ্রাসি,তুই ইজ্ঞু গম মাস্টর
Whose decision was final?,কার সিদ্ধান্ত চূড়ান্ত ছিল?,,আসু চ্গালা?,হা সিদ্ধান্ত আন চূড়ান্ত এল?
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,,স্ডাং কিজু কিজুটাংরে,তথ্যের লাই সাধু
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,,ম্হ্রচা কিজু কিজুটাংরে,প্রশংসা গুরিবার লাই ধন্যবাদ
You are always complaining.,আপনি সবসময় অভিযোগ করছেন,,,তুই হি সবসময় অভিযোগ গড়স
Will you come tomorrow?,তুমি কি আগামীকাল আসবে?,,নাং ন্হাফ্রেং লেহো য়াং,তুই হি হিল্লি এবে?
Will you dance with me?,তুমি কি আমার সাথে নাচবে?,,নাং ঙালা কাহোল?,তুই হি ম লগে নাজিবি?
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,,নাং গ্নি আচাস্যা ন্গ্যবলে?,তুই ইচ্ছি বেজ দুর্বল হিত্তে?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,,নাং গ্নি খরুইকা ক্রাব আস্যা লেটেলে?,তুই ইচ্চি বিন্নি দেরি হিট্টে গড়লে?
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,,নাং আথিদো আস্যা ম্ওয়ংলে?,তুই ভিদিরি হিট্টে নয়েজস?
Why did you leave?,তুমি কেন ছেড়ে দিলে,,নাং আস্যা ফ্রুল টিলে?,তুই হিট্টে ছাজ্জজ?
Why were you so angry?,তুমি এত রেগে গেলে কেন?,,নাং আস্যা মেং তাউরে লে?,তুই হিট্টে রাজ্ঞজ?
Why are you late?,তোমার দেরী হল কেন?,,নাং আস্যা ক্রাফালে?,তর হিট্টে দেরি অল?
Why are you drying your hair?,তুমি চুল শুকাচ্ছ কেন?,,নাং ছেংবাং আস্যা ল্হেংরে লে?,তুই হিট্টে চুল সুগোর?
Which team will win the game?,খেলা কোন দল জিতবে?,,খ্যলা আসু অংহো?,হেলা আনট হন দল জিদিবু?
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,,নাগ সায়াচা আসু ব্রা্গলে?,ত প্রিয় দল হুবোন?
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,,আপা লেং যাচা লে?,বেগ হায়ো পথ হুবোন?
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,,যাচা আম্যা খা্গটেলে,হুবোন বেজ দাম?
Where do you want to go?,আপনি কোথায় যেতে চান?,,কো আদো লাখ্যাং রে লে?,তুই হুদু যেবাস চাস?
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,,ইয়াউসু বাস মা ল ট্রন মা ল?,তে হি বাজট ইচ্ছি না ট্রেনট?
Did he go to see John?,সে কি জন দেখতে গিয়েছিল?,,,তে হি জন চেবার জিয়োন?
Did he propose to you?,সে কি তোমাকে প্রস্তাব করেছিল?,,,তে হি তরে প্রস্তাব দি?
Did he tell you what to do?,সে কি তোমাকে বলেছে কি করতে হবে?,,ই্য়াগসু প্ররিল না্গকো আচা প্যাংরা হোলে,তে হি তরে হুয়ি গুড়িবার?
Did you do it yourself?,আপনি কি নিজের থেকে এটা করেছেন?,,কো ইচা কোমাকো প্যাং চা য়াং?,তুই হি নিজোট্টুন ইয়ান গুচ্ছোজ?
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,,কো কোরো ইং আলু লুটেয়াং,তুই হি তোর গরে হাম আন গুচ্ছোস?
Did you drive him home last night?,তুমি কি গতকাল রাতে তাকে বাড়ি ড্রাইভ করেছিলে?,,,তুই হি তারে গত রেদট গাড়ি ড্রাইভ গুচ্ছোস ই
Did you understand me?,তুমি কি আমার কথা বুঝতে পেরেছ?,,নাং ঙা চাগা নালেরেল?,তুই হি মো হদা আন বুচ্ছোস?
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,,নাং য়া বওয়ে আহ্লা ম্রাং ল টি ল?,তুই হি সিনেমা আন দোল পিয়োছ?
Do you live here?,তুমি কি এখানে থাকো?,,নাং ইংদেমা নিংরে য়াং?,তুই হি ইয়োট ঠাস?
